Order,Song,Genre,Instrument,Mood
60,K.K. Dixie,Dixieland,"Drums
Piano
Trumpet ",I feel good!
61,K.K. Marathon,Gamelan,"Vibraphone
Drum ",It's hard to say
62,King K.K.,Gagaku,"Drum
Santoor
Chimes ",A little blue...
63,Mountain Song,Volksmusik,"Accordion
Synthesizer ",I feel good!
64,Marine Song 2001,Traditional sea shanty,"Japanese drum
Shamisen ",Laid-back
65,Neapolitan,Southern Italian folk,"Piccolo
Wurlitzer ",I feel good!
66,Steep Hill,Japanese folk rock ,,A little blue...
67,K.K. Rockabilly,Rockabilly,"Bass
Electric guitar
Drums
Synthesizer ",I feel good!
68,Agent K.K.,Theme song,,It's hard to say
69,K.K. Rally,Ondō,Drums,It's hard to say
70,K.K. Metal,Heavy metal,"Electric guitar
Drums
Bass",A little grumpy...
71,Stale Cupcakes,,,A little blue...
72,Spring Blossoms,Japanese folk,"Guitar
Drum
Japanese flute ",I feel good!
73,Wandering,Soft rock,Piano,Laid-back
74,K.K. House,House,,A little grumpy...
75,K.K. Sonata,Classical,Piano,A little blue...
76,Hypno K.K.,Minimalist,,It's hard to say
77,K.K. Stroll,,,Laid-back
78,K.K. Island,,"Xylophone
Wood scraper block ",Laid-back
79,Space K.K.,Minimalist,,It's hard to say
80,K.K. Adventure,Film score,,A little grumpy...
81,K.K. Oasis,Indian traditional,,It's hard to say
82,K.K. Bazaar,Romani folk,,A little grumpy...
83,K.K. Milonga,Milonga,,A little blue...
84,K.K. Groove,Funk ," 	Bass
Saxophone ",I feel good!
85,K.K. Jongara,Tsugaru-jamisen,"Shamisen
Voice",A little grumpy...
86,K.K. Flamenco,Flamenco,"Vocals
Flamenco guitar
Clapping",A little grumpy...
87,K.K. Moody,Bolero,,Laid-back
88,Bubblegum K.K.,J-pop,,I feel good!
89,K.K. Synth,Ambient,Synthesizer,Laid-back
90,K.K. Disco,Disco,,I feel good!
91,K.K. Birthday,American traditional,,Only on the player's birthday
92,Animal City,Waltz,,Request only
93,Drivin',Jazz fusion,"Acoustic guitar
Synth bass
Synth drums
Electric piano
Acoustic piano ",Request only
94,Farewell,Minimalist,"Piano
Xylophone
Synth ",Request only
95,Welcome Horizons,Easy listening,"Flugelhorn
Ukulele
Acoustic guitar
Acoustic bass
Shaker
Bongos
Synths
Accordion
Tambourine ",Request only
96,K.K. Fugue,Classical,Harpsichord,Laid-back
97,K.K. Polka,Polka,"Accordion
Flute
Fiddle ",I feel good!
98,K.K. Slack-Key,Slack-key guitar ,Open-tuned guitar,Laid-back
99,K.K. Chorinho,Chorinho,"Bandolim
Pandeiro
Seven-string guitar",A little grumpy...
100,Chillwave,Chillwave,,Laid-back
101,K.K. Dub,Dub,,Laid-back
102,K.K. Lovers,Lovers rock,,A little blue...
103,K.K. Bashment,Dancehall,,A little blue...
104,K.K. Hop,Hip-hop,,It's hard to say
105,K.K. Break,Hip-hop,,A little grumpy...
106,K.K. Khoomei,Mongolian folk,"Throat singing vocals
Whistle
Morin khuur
Tovshuur
Hand drums ",It's hard to say
107,K.K. Robot Synth,Vocaloid,,I feel good!
